,Final ID,Minutes Left
157,F00085,2.0
158,F00086,2.0
159,F00087,5.0
160,F00088,0.0
161,F00089,0.0
162,F00091,4.0
163,F00092,1.0
164,F00095,0.0
165,F00098,1.0
166,F00099,3.0
167,F00102,9.0
168,F00103,3.0
169,F00104,3.0
170,F00105,6.0
171,F00106,6.0
172,F00107,3.0
173,F00108,8.0
174,F00110,0.0
175,F00111,6.0
176,F00113,8.0
177,F00918,15.0
178,F00919,15.0
179,F00921,15.0
180,F00922,15.0
181,F00923,15.0
182,F00924,0.0
183,F00925,1.0
184,F00929,1.0
185,F00933,3.0
186,F00935,3.0
187,F00938,0.0
188,F00939,1.0
189,F00940,3.0
190,F00941,0.0
191,F00942,5.0
192,F00943,2.0
193,F00944,6.0
194,F00945,3.0
195,F00950,7.0
196,F00951,9.0
197,F00966,11.0
198,F00967,8.0
199,F00968,4.0
200,F00969,1.0
201,F00970,3.0
202,F00971,3.0
203,F00972,6.0
204,F00973,6.0
205,F00974,9.0
206,F00975,10.0
207,F00976,7.0
208,F00979,6.0
209,F00980,5.0
210,F00981,6.0
211,F00982,7.0
212,F00983,9.0
213,F00985,7.0
214,F00986,0.0
215,F00990,1.0
216,F01000,10.0
217,F01004,7.0
218,F01005,11.0
219,F01006,14.0
220,F01007,14.0
221,F01010,11.0
222,F01011,11.0
223,F01012,9.0
224,F01013,12.0
225,F01014,9.0
226,F01015,9.0
227,F01016,9.0
228,F01017,9.0
229,F01020,2.0
230,F01021,2.0
231,F01022,1.0
232,F01023,3.0
233,F01028,3.0
234,F01029,3.0
235,F01030,1.0
236,F01032,0.0
237,F01034,0.0
238,F01035,3.0
239,F01036,0.0
240,F01037,0.0
241,F01062,0.0
242,F01066,1.0
243,F01067,1.0
244,F01075,1.0
245,F01076,1.0
246,F01077,1.0
247,F01078,4.0
248,F01081,1.0
249,F01082,1.0
250,F01088,0.0
251,F01089,2.0
252,F01097,0.0
253,F01110,5.0
254,F01111,4.0
255,F01112,1.0
256,F01115,1.0
257,F01116,4.0
258,F01121,1.0
259,F01122,0.0
260,F01130,0.0
261,F01146,1.0
262,F01150,1.0
263,F01159,3.0
264,F01160,3.0
265,F01161,2.0
266,F01162,5.0
267,F01164,6.0
268,F01165,5.0
269,F01166,4.0
270,F01168,5.0
271,F01169,4.0
272,F01170,8.0
273,F01171,5.0
274,F01172,3.0
275,F01173,3.0
276,F01174,12.0
277,F01175,9.0
278,F01176,5.0
279,F01177,8.0
280,F01183,1.0
281,F01185,8.0
282,F01186,2.0
283,F01187,0.0
284,F01191,6.0
285,F01192,9.0
286,F01194,6.0
287,F01197,8.0
288,F01199,8.0
289,F01200,7.0
290,F01201,6.0
291,F01204,8.0
292,F01205,11.0
293,F01207,6.0
294,F01208,9.0
295,F01210,1.0
296,F01211,2.0
297,F01213,0.0
298,F01218,2.0
299,F01219,0.0
300,F01220,0.0
301,F01221,3.0
302,F01222,3.0
303,F01223,3.0
304,F01224,6.0
305,F01225,5.0
306,F01227,0.0
307,F01229,2.0
308,F01234,4.0
309,F01235,7.0
310,F01236,0.0
311,F01237,3.0
312,F01245,4.0
313,F01246,4.0
314,F01248,4.0
315,F01249,4.0
316,F01251,2.0
317,F01302,0.0
318,F01309,2.0
319,F01311,3.0
320,F01314,3.0
321,F01316,0.0
322,F01317,0.0
323,F01319,0.0
324,F01321,0.0
325,F01322,0.0
326,F01323,0.0
327,F01333,2.0
328,F01334,4.0
329,F01337,6.0
330,F01339,10.0
331,F01340,8.0
332,F01343,10.0
333,F01345,7.0
334,F01346,13.0
335,F01351,0.0
336,F01352,3.0
337,F01355,4.0
338,F01373,9.0
339,F01374,9.0
340,F01376,9.0
341,F01378,5.0
342,F01379,4.0
343,F01380,7.0
344,F01381,0.0
345,F01382,3.0
346,F01384,10.0
347,F01386,7.0
348,F01387,7.0
349,F01388,7.0
350,F01390,2.0
351,F01391,5.0
352,F01393,1.0
353,F01396,8.0
354,F01397,5.0
355,F01400,5.0
356,F01401,5.0
357,F01403,6.0
358,F01407,3.0
359,F01411,2.0
360,F01418,1.0
361,F01420,0.0
362,F01430,0.0
363,F01511,3.0
364,F01512,4.0
365,F01513,1.0
366,F01514,9.0
367,F01515,9.0
368,F01518,9.0
369,F01519,12.0
370,F01530,2.0
371,F01984,4.0
372,F01986,6.0
373,F01988,3.0
374,F01989,5.0
375,F01990,5.0
376,F01992,3.0
377,F01995,3.0
378,F01997,5.0
379,F01998,3.0
380,F01999,3.0
381,F02000,3.0
382,F02003,0.0
383,F02004,3.0
384,F02010,1.0
385,F02033,0.0
386,F02035,1.0
387,F02038,1.0
388,F02040,0.0
389,F02042,3.0
390,F02044,2.0
391,F02046,1.0
392,F02047,4.0
393,F02110,0.0
394,F02115,0.0
395,F02123,1.0
396,F02127,2.0
397,F02128,2.0
398,F02130,0.0
399,F02142,9.0
400,F02143,9.0
401,F02144,9.0
402,F02145,9.0
403,F02146,0.0
404,F02147,3.0
405,F02148,10.0
406,F02149,7.0
407,F02152,7.0
408,F02153,2.0
409,F02154,5.0
410,F02155,2.0
411,F02156,4.0
412,F02164,1.0
413,F02181,5.0
414,F02182,2.0
415,F02184,2.0
416,F02194,4.0
417,F02196,4.0
418,F02197,4.0
419,F02198,4.0
420,F02200,4.0
421,F02202,7.0
422,F02203,4.0
423,F02222,4.0
424,F02224,7.0
425,F02225,4.0
426,F02234,2.0
427,F02236,0.0
428,F02238,4.0
429,F02239,1.0
430,F02240,0.0
431,F02252,1.0
432,F02254,1.0
433,F02262,0.0
434,F02302,0.0
435,F02332,1.0
436,F02612,1.0
437,F02615,1.0
438,F02616,1.0
439,F02617,1.0
440,F02618,1.0
441,F02716,0.0
442,F04297,1.0
